genre,year,yhat_base,yhat_lower_base,yhat_upper_base,model_base,order_x,aic_x,n_obs_base,model_version_x,created_at_x,yhat_with,yhat_lower_with,yhat_upper_with,model_with,order_y,aic_y,n_obs_with,model_version_y,created_at_y
Action,2021,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",407.9178972824773,41,v0.1-baseline,2025-09-08T16:12:05.549828,271.37377073600663,217.0990165888053,325.648524883208,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Action,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",407.9178972824773,41,v0.1-baseline,2025-09-08T16:12:05.549828,335.1302551072092,268.1042040857673,402.156306128651,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Action,2023,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",407.9178972824773,41,v0.1-baseline,2025-09-08T16:12:05.549828,365.7222578228245,292.5778062582596,438.8667093873894,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Action,2024,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",407.9178972824773,41,v0.1-baseline,2025-09-08T16:12:05.549828,381.7688715624647,305.4150972499717,458.1226458749576,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Action,2025,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",407.9178972824773,41,v0.1-baseline,2025-09-08T16:12:05.549828,391.4361200926752,313.14889607414017,469.7233441112102,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Adventure,2021,0.0,0.0,19.48268668118797,SARIMAX,"(1, 1, 1)",357.6568841321067,41,v0.1-baseline,2025-09-08T16:12:05.549828,55.0,44.0,66.0,Ridge-AR1+Hype (degenerate→naive),ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Adventure,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",357.6568841321067,41,v0.1-baseline,2025-09-08T16:12:05.549828,55.0,44.0,66.0,Ridge-AR1+Hype (degenerate→naive),ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Adventure,2023,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",357.6568841321067,41,v0.1-baseline,2025-09-08T16:12:05.549828,55.0,44.0,66.0,Ridge-AR1+Hype (degenerate→naive),ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Adventure,2024,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",357.6568841321067,41,v0.1-baseline,2025-09-08T16:12:05.549828,55.0,44.0,66.0,Ridge-AR1+Hype (degenerate→naive),ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Adventure,2025,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",357.6568841321067,41,v0.1-baseline,2025-09-08T16:12:05.549828,55.0,44.0,66.0,Ridge-AR1+Hype (degenerate→naive),ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Animation,2021,18.415086208678208,0.0,44.58469569651774,SARIMAX,"(0, 1, 1)",310.8063810034246,41,v0.1-baseline,2025-09-08T16:12:05.549828,34.061379962649255,27.249103970119403,40.8736559551791,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Animation,2022,18.31197145718898,0.0,56.53288606633323,SARIMAX,"(0, 1, 1)",310.8063810034246,41,v0.1-baseline,2025-09-08T16:12:05.549828,42.33118853551762,33.864950828414095,50.79742624262114,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Animation,2023,18.208856705699755,0.0,65.50397449150267,SARIMAX,"(0, 1, 1)",310.8063810034246,41,v0.1-baseline,2025-09-08T16:12:05.549828,48.65454278524938,38.923634228199504,58.38545134229926,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Animation,2024,18.10574195421053,0.0,72.9948849534089,SARIMAX,"(0, 1, 1)",310.8063810034246,41,v0.1-baseline,2025-09-08T16:12:05.549828,53.6207100234197,42.89656801873576,64.34485202810365,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Animation,2025,18.002627202721303,0.0,79.55592014469089,SARIMAX,"(0, 1, 1)",310.8063810034246,41,v0.1-baseline,2025-09-08T16:12:05.549828,57.64056346297858,46.112450770382864,69.1686761555743,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Comedy,2021,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",450.9528492029361,41,v0.1-baseline,2025-09-08T16:12:05.549828,321.9225274934625,257.53802199477,386.3070329921551,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Comedy,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",450.9528492029361,41,v0.1-baseline,2025-09-08T16:12:05.549828,407.42530473741766,325.94024378993413,488.9103656849012,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Comedy,2023,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",450.9528492029361,41,v0.1-baseline,2025-09-08T16:12:05.549828,476.736199746451,381.3889597971608,572.0834396957412,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Comedy,2024,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",450.9528492029361,41,v0.1-baseline,2025-09-08T16:12:05.549828,533.2077090085455,426.5661672068365,639.8492508102546,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Comedy,2025,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",450.9528492029361,41,v0.1-baseline,2025-09-08T16:12:05.549828,579.4982013902704,463.5985611122163,695.3978416683245,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Documentary,2021,1.0,0.8,1.2,naive,,,1,v0.1-baseline,2025-09-08T16:12:05.549828,1.0,0.0,3.0,Ridge-AR1+Hype (naive fallback),ridge_ar1,,0,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Documentary,2022,1.0,0.8,1.2,naive,,,1,v0.1-baseline,2025-09-08T16:12:05.549828,1.0,0.0,3.0,Ridge-AR1+Hype (naive fallback),ridge_ar1,,0,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Documentary,2023,1.0,0.8,1.2,naive,,,1,v0.1-baseline,2025-09-08T16:12:05.549828,1.0,0.0,3.0,Ridge-AR1+Hype (naive fallback),ridge_ar1,,0,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Documentary,2024,1.0,0.8,1.2,naive,,,1,v0.1-baseline,2025-09-08T16:12:05.549828,1.0,0.0,3.0,Ridge-AR1+Hype (naive fallback),ridge_ar1,,0,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Drama,2021,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",494.9432363751606,41,v0.1-baseline,2025-09-08T16:12:05.549828,549.6783787316094,439.7427029852876,659.6140544779313,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Drama,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",494.9432363751606,41,v0.1-baseline,2025-09-08T16:12:05.549828,731.4246141541711,585.1396913233368,877.7095369850053,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Drama,2023,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",494.9432363751606,41,v0.1-baseline,2025-09-08T16:12:05.549828,875.8548388565231,700.6838710852185,1051.0258066278277,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Drama,2024,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",494.9432363751606,41,v0.1-baseline,2025-09-08T16:12:05.549828,991.8276005927409,793.4620804741927,1190.193120711289,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Drama,2025,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",494.9432363751606,41,v0.1-baseline,2025-09-08T16:12:05.549828,1086.0984927336024,868.8787941868819,1303.318191280323,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Family,2021,11.199165491187664,0.0,47.39597806397736,SARIMAX,"(0, 1, 1)",335.4607116211654,41,v0.1-baseline,2025-09-08T16:12:05.549828,12.991738487063069,10.393390789650455,15.590086184475682,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Family,2022,10.82904732423134,0.0,67.6499761965991,SARIMAX,"(0, 1, 1)",335.4607116211654,41,v0.1-baseline,2025-09-08T16:12:05.549828,0.0,0.0,2.0,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Family,2023,10.45892915727502,0.0,82.20171050430453,SARIMAX,"(0, 1, 1)",335.4607116211654,41,v0.1-baseline,2025-09-08T16:12:05.549828,0.0,0.0,2.0,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Family,2024,10.088810990318697,0.0,94.1449552802913,SARIMAX,"(0, 1, 1)",335.4607116211654,41,v0.1-baseline,2025-09-08T16:12:05.549828,0.0,0.0,2.0,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Family,2025,9.718692823362376,0.0,104.50183536667387,SARIMAX,"(0, 1, 1)",335.4607116211654,41,v0.1-baseline,2025-09-08T16:12:05.549828,0.0,0.0,2.0,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Fantasy,2021,10.10443216968913,0.0,43.21904870874522,SARIMAX,"(0, 1, 1)",328.69611538410845,41,v0.1-baseline,2025-09-08T16:12:05.549828,48.03103820195958,38.42483056156767,57.6372458423515,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Fantasy,2022,9.463680462827,0.0,61.20556923618026,SARIMAX,"(0, 1, 1)",328.69611538410845,41,v0.1-baseline,2025-09-08T16:12:05.549828,64.50224813194028,51.60179850555223,77.40269775832833,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Fantasy,2023,8.82292875596487,0.0,74.07527184906301,SARIMAX,"(0, 1, 1)",328.69611538410845,41,v0.1-baseline,2025-09-08T16:12:05.549828,75.94083337916395,60.75266670333116,91.12900005499674,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Fantasy,2024,8.18217704910274,0.0,84.59234328661807,SARIMAX,"(0, 1, 1)",328.69611538410845,41,v0.1-baseline,2025-09-08T16:12:05.549828,84.02916908548563,67.22333526838851,100.83500290258276,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Fantasy,2025,7.541425342240611,0.0,93.67596388369948,SARIMAX,"(0, 1, 1)",328.69611538410845,41,v0.1-baseline,2025-09-08T16:12:05.549828,89.88722284275383,71.90977827420306,107.8646674113046,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Horror,2021,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",403.50823750610834,41,v0.1-baseline,2025-09-08T16:12:05.549828,169.22177382521312,135.3774190601705,203.06612859025572,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Horror,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",403.50823750610834,41,v0.1-baseline,2025-09-08T16:12:05.549828,214.5688364131086,171.65506913048688,257.48260369573035,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Horror,2023,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",403.50823750610834,41,v0.1-baseline,2025-09-08T16:12:05.549828,245.9558842454041,196.76470739632327,295.1470610944849,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Horror,2024,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",403.50823750610834,41,v0.1-baseline,2025-09-08T16:12:05.549828,268.00713769180265,214.40571015344213,321.6085652301632,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Horror,2025,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",403.50823750610834,41,v0.1-baseline,2025-09-08T16:12:05.549828,283.8150555585749,227.05204444685995,340.57806667029,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Romance,2021,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",385.193031504949,41,v0.1-baseline,2025-09-08T16:12:05.549828,29.373337963286414,23.49867037062913,35.2480055559437,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Romance,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",385.193031504949,41,v0.1-baseline,2025-09-08T16:12:05.549828,0.0,0.0,2.0,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Romance,2023,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",385.193031504949,41,v0.1-baseline,2025-09-08T16:12:05.549828,0.0,0.0,2.0,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Romance,2024,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",385.193031504949,41,v0.1-baseline,2025-09-08T16:12:05.549828,0.0,0.0,2.0,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Romance,2025,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",385.193031504949,41,v0.1-baseline,2025-09-08T16:12:05.549828,0.0,0.0,2.0,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Sci-Fi,2021,47.8809665587097,17.950579657129797,77.81135346028961,SARIMAX,"(1, 1, 1)",323.55501122713366,41,v0.1-baseline,2025-09-08T16:12:05.549828,48.46835640613078,38.77468512490462,58.16202768735694,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Sci-Fi,2022,41.07347153443558,1.3919891468478056,80.75495392202336,SARIMAX,"(1, 1, 1)",323.55501122713366,41,v0.1-baseline,2025-09-08T16:12:05.549828,55.716473127689824,44.57317850215186,66.85976775322779,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Sci-Fi,2023,47.98821694137247,0.0,97.53867265327608,SARIMAX,"(1, 1, 1)",323.55501122713366,41,v0.1-baseline,2025-09-08T16:12:05.549828,61.96686255921793,49.57349004737434,74.36023507106151,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Sci-Fi,2024,42.083384110782966,0.0,98.17714937039898,SARIMAX,"(1, 1, 1)",323.55501122713366,41,v0.1-baseline,2025-09-08T16:12:05.549828,67.40146165229147,53.921169321833176,80.88175398274977,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Sci-Fi,2025,48.15484531263645,0.0,111.51080790239416,SARIMAX,"(1, 1, 1)",323.55501122713366,41,v0.1-baseline,2025-09-08T16:12:05.549828,72.16903090367835,57.73522472294268,86.60283708441402,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Thriller,2021,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",413.21196969144745,41,v0.1-baseline,2025-09-08T16:12:05.549828,332.17223916255875,265.737791330047,398.6066869950705,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Thriller,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",413.21196969144745,41,v0.1-baseline,2025-09-08T16:12:05.549828,397.9752117832366,318.3801694265893,477.5702541398839,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Thriller,2023,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",413.21196969144745,41,v0.1-baseline,2025-09-08T16:12:05.549828,425.0753533709659,340.0602826967728,510.0904240451591,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Thriller,2024,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",413.21196969144745,41,v0.1-baseline,2025-09-08T16:12:05.549828,438.3532261756349,350.68258094050793,526.0238714107619,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Thriller,2025,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",413.21196969144745,41,v0.1-baseline,2025-09-08T16:12:05.549828,446.6946354397296,357.3557083517837,536.0335625276755,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
